Phase,Trial,tenure_base,tenure_dyn,aspiration,cooling,reheat,block,adapt,intensify,diversify,penalty,nbhd_cap,p2_freq,score
grid,1,7,3,0.9800,0.9900,1.2000,0.4000,0.4000,150,600,400.0000,25,15,103786.0000
grid,2,15,3,0.9800,0.9990,2.0000,0.4000,0.2500,300,400,200.0000,25,25,103885.0000
grid,3,15,3,0.9700,0.9990,2.0000,0.8000,0.4000,500,1500,30.0000,25,25,103834.0000
grid,4,7,8,0.9990,0.9930,3.0000,0.4000,0.2500,80,600,200.0000,40,5,103862.0000
grid,5,10,0,0.9990,0.9990,1.5000,0.4000,0.2500,80,600,50.0000,100,10,103968.0000
grid,6,4,3,0.9800,0.9970,2.0000,0.8000,0.4000,150,200,30.0000,100,15,103958.0000
grid,7,4,3,0.9900,0.9900,2.5000,0.8000,0.1000,300,900,10.0000,100,8,104051.0000
grid,8,10,3,0.9500,0.9950,2.0000,0.3000,0.1000,200,400,50.0000,25,10,103989.0000
grid,9,20,8,0.9990,0.9990,2.5000,0.4000,0.1000,80,400,30.0000,60,8,104031.0000
grid,10,10,3,0.9800,0.9950,2.5000,0.8000,0.1000,200,1500,400.0000,15,10,103613.0000
grid,11,10,8,0.9800,0.9930,2.5000,0.2000,0.4000,200,600,50.0000,15,25,103624.0000
grid,12,10,12,0.9800,0.9950,1.5000,0.2000,0.2500,300,1500,50.0000,25,5,103795.0000
grid,13,4,0,0.9990,0.9900,1.5000,0.2000,0.1500,150,900,10.0000,40,10,103822.0000
grid,14,4,12,0.9800,0.9990,1.2000,0.6000,0.4000,200,600,200.0000,60,5,104034.0000
grid,15,10,12,0.9500,0.9900,1.5000,0.2000,0.4000,150,900,400.0000,15,25,103901.0000
grid,16,4,8,0.9900,0.9970,2.0000,0.8000,0.2500,200,600,400.0000,25,25,103745.0000
grid,17,20,0,0.9800,0.9950,3.0000,0.4000,0.0500,150,600,50.0000,15,10,103829.0000
grid,18,20,8,0.9500,0.9970,1.2000,0.3000,0.0500,500,900,400.0000,25,10,103740.0000
grid,19,15,3,0.9900,0.9970,1.5000,0.4000,0.1500,150,900,50.0000,60,25,103965.0000
grid,20,10,3,0.9800,0.9950,1.2000,0.6000,0.1000,200,1500,30.0000,100,10,103933.0000
grid,21,20,0,0.9900,0.9970,1.2000,0.4000,0.2500,200,900,30.0000,100,5,103922.0000
grid,22,4,8,0.9900,0.9930,2.5000,0.4000,0.1000,500,1500,30.0000,25,10,103861.0000
grid,23,20,12,0.9800,0.9900,1.2000,0.3000,0.4000,300,1500,30.0000,100,25,104093.0000
grid,24,20,5,0.9700,0.9900,2.0000,0.8000,0.4000,200,600,10.0000,40,5,103833.0000
grid,25,4,8,0.9700,0.9970,1.2000,0.6000,0.4000,300,1500,200.0000,100,5,103971.0000
grid,26,20,0,0.9800,0.9900,3.0000,0.4000,0.0500,300,1500,100.0000,100,15,104022.0000
grid,27,15,12,0.9800,0.9950,2.0000,0.4000,0.0500,200,900,10.0000,25,8,103771.0000
grid,28,4,12,0.9800,0.9930,2.0000,0.6000,0.2500,300,600,100.0000,60,15,103900.0000
grid,29,4,0,0.9500,0.9990,2.5000,0.2000,0.4000,80,1500,100.0000,60,25,103843.0000
grid,30,20,3,0.9990,0.9990,2.0000,0.8000,0.4000,80,200,30.0000,25,15,103717.0000
grid,31,4,8,0.9500,0.9950,1.5000,0.3000,0.1500,80,400,100.0000,100,5,104001.0000
grid,32,10,8,0.9900,0.9990,3.0000,0.4000,0.1000,200,400,100.0000,25,25,103784.0000
grid,33,4,0,0.9800,0.9900,3.0000,0.2000,0.1500,500,1500,200.0000,15,8,103813.0000
grid,34,20,0,0.9500,0.9930,2.5000,0.6000,0.4000,500,1500,10.0000,15,15,103725.0000
grid,35,20,12,0.9700,0.9990,3.0000,0.8000,0.0500,200,400,30.0000,100,10,103794.0000
grid,36,7,5,0.9500,0.9900,1.2000,0.4000,0.2500,300,900,400.0000,40,5,103970.0000
grid,37,15,5,0.9990,0.9930,1.2000,0.4000,0.2500,300,900,10.0000,100,15,103846.0000
grid,38,4,12,0.9900,0.9990,2.0000,0.6000,0.1500,200,400,100.0000,60,10,103778.0000
grid,39,7,0,0.9900,0.9950,3.0000,0.8000,0.4000,80,200,100.0000,40,25,103827.0000
grid,40,4,0,0.9900,0.9970,2.0000,0.3000,0.4000,300,1500,10.0000,100,25,104082.0000
refine,1,10,3,0.9800,0.9950,3.0000,0.8000,0.1000,200,1500,400.0000,15,10,103754.0000
refine,2,10,3,0.9990,0.9950,2.5000,0.8000,0.1000,200,1500,400.0000,15,10,103731.0000
refine,3,20,0,0.9500,0.9930,3.0000,0.3000,0.1500,200,1500,100.0000,60,8,103909.0000
refine,4,10,3,0.9800,0.9950,2.5000,0.8000,0.1000,200,1500,400.0000,15,5,103735.0000
refine,5,15,5,0.9500,0.9930,3.0000,0.4000,0.1000,500,1500,200.0000,60,8,103839.0000
refine,6,10,3,0.9800,0.9950,2.5000,0.4000,0.1000,200,1500,400.0000,15,10,103835.0000
refine,7,10,5,0.9500,0.9900,2.0000,0.2000,0.2500,80,200,50.0000,40,8,103896.0000
refine,8,4,12,0.9900,0.9900,3.0000,0.6000,0.1500,80,200,400.0000,25,10,103772.0000
refine,9,10,3,0.9900,0.9950,2.5000,0.8000,0.1000,200,1500,400.0000,15,10,103924.0000
refine,10,10,3,0.9800,0.9950,2.5000,0.8000,0.1000,200,1500,100.0000,15,10,103812.0000
refine,11,10,8,0.9800,0.9950,2.5000,0.8000,0.1000,200,1500,400.0000,15,10,103853.0000
refine,12,10,3,0.9800,0.9950,2.5000,0.8000,0.1000,200,1500,400.0000,25,10,103762.0000
refine,13,7,3,0.9700,0.9990,1.5000,0.8000,0.2500,80,900,200.0000,60,8,103780.0000
refine,14,10,3,0.9800,0.9950,2.5000,0.2000,0.1000,200,1500,400.0000,15,10,103736.0000
refine,15,15,5,0.9900,0.9900,2.0000,0.3000,0.1000,150,900,100.0000,60,5,103796.0000
refine,16,4,5,0.9800,0.9970,3.0000,0.6000,0.0500,80,1500,400.0000,25,25,103953.0000
refine,17,10,3,0.9800,0.9950,2.5000,0.8000,0.1000,200,1500,400.0000,15,10,103788.0000
refine,18,10,3,0.9800,0.9950,2.5000,0.8000,0.1000,200,1500,400.0000,15,10,103795.0000
refine,19,20,3,0.9900,0.9950,3.0000,0.6000,0.4000,300,1500,400.0000,100,5,104055.0000
refine,20,10,3,0.9800,0.9950,2.5000,0.8000,0.1000,150,1500,400.0000,15,10,103740.0000
refine,21,10,3,0.9800,0.9950,2.5000,0.8000,0.1000,200,600,400.0000,15,10,103834.0000
refine,22,10,3,0.9800,0.9950,2.5000,0.2000,0.1000,200,1500,400.0000,15,10,103762.0000
refine,23,10,3,0.9900,0.9950,1.5000,0.4000,0.1000,80,200,400.0000,25,15,103708.0000
refine,24,10,5,0.9700,0.9930,3.0000,0.4000,0.0500,80,1500,30.0000,15,5,103888.0000
refine,25,7,12,0.9700,0.9900,1.2000,0.3000,0.0500,200,600,10.0000,60,8,103993.0000
refine,26,10,3,0.9800,0.9950,2.5000,0.4000,0.1000,200,1500,400.0000,15,10,103868.0000
refine,27,10,8,0.9990,0.9990,1.5000,0.2000,0.0500,500,1500,100.0000,15,25,103843.0000
refine,28,10,3,0.9800,0.9950,2.5000,0.8000,0.1000,200,1500,400.0000,25,10,103710.0000
refine,29,10,3,0.9800,0.9950,2.0000,0.8000,0.1000,200,1500,400.0000,15,10,103825.0000
refine,30,10,3,0.9800,0.9950,2.5000,0.3000,0.1000,200,1500,400.0000,15,10,103793.0000
local,12,7,3,0.9800,0.9950,2.5000,0.8000,0.1000,200,1500,400.0000,15,10,103734.0000
local,13,10,12,0.9800,0.9950,2.5000,0.8000,0.1000,200,1500,400.0000,15,10,103814.0000
local,14,10,3,0.9990,0.9950,2.5000,0.8000,0.1000,200,1500,400.0000,15,10,103780.0000
local,15,10,3,0.9800,0.9950,2.5000,0.8000,0.1000,200,1500,400.0000,15,10,103779.0000
local,16,10,3,0.9800,0.9950,2.0000,0.8000,0.1000,200,1500,400.0000,15,10,103798.0000
local,17,10,3,0.9800,0.9950,2.5000,0.2000,0.1000,200,1500,400.0000,15,10,103766.0000
local,18,10,3,0.9800,0.9950,2.5000,0.8000,0.1000,200,1500,400.0000,15,10,103776.0000
local,19,10,3,0.9800,0.9950,2.5000,0.8000,0.1000,150,1500,400.0000,15,10,103911.0000
local,20,10,3,0.9800,0.9950,2.5000,0.8000,0.1000,200,600,400.0000,15,10,103757.0000
local,21,10,3,0.9800,0.9950,2.5000,0.8000,0.1000,200,1500,30.0000,15,10,103738.0000
local,22,10,3,0.9800,0.9950,2.5000,0.8000,0.1000,200,1500,400.0000,100,10,104058.0000
local,23,10,3,0.9800,0.9950,2.5000,0.8000,0.1000,200,1500,400.0000,15,8,103708.0000
